Name,ExecutionTimeInSeconds
TestCase2208,18
TestCase1429,6
TestCase2054,40
TestCase1094,11
TestCase145,36
TestCase1491,10
TestCase1741,9
TestCase1220,55
TestCase1426,5
TestCase1939,5
TestCase1394,7
TestCase1963,14
TestCase646,7
TestCase393,8
TestCase2462,57
TestCase1818,17
TestCase749,7
TestCase1962,8
TestCase2362,26
TestCase774,33
TestCase1945,3
TestCase2431,41
TestCase1272,7
TestCase1904,3
TestCase2169,49
TestCase156,42
TestCase1403,34
TestCase1821,11
TestCase2310,34
TestCase297,1
TestCase1584,1
TestCase1184,6
TestCase1933,30
TestCase1540,2
TestCase1008,6
TestCase607,2
TestCase1687,7
TestCase1204,23
TestCase2014,46
TestCase1622,28
TestCase330,35
TestCase1494,26
TestCase202,43
TestCase937,28
TestCase1715,1
TestCase1378,59
TestCase1193,1
TestCase1554,33
TestCase2225,2
TestCase931,9
TestCase2492,3
TestCase428,21
TestCase1390,27
TestCase549,37
TestCase2284,32
TestCase308,4
TestCase1937,4
TestCase2241,51
TestCase872,7
TestCase760,56
TestCase1096,60
TestCase784,43
TestCase1510,10
TestCase1797,7
TestCase897,32
TestCase818,3
TestCase1180,5
TestCase261,9
TestCase153,41
TestCase2415,9
TestCase1446,10
TestCase638,8
TestCase1914,36
TestCase448,7
TestCase237,7
TestCase1598,10
TestCase1271,5
TestCase1966,2
TestCase1732,4
TestCase1899,6
TestCase2107,13
TestCase310,10
TestCase758,20
TestCase2193,6
TestCase1455,5
TestCase302,34
TestCase2239,49
TestCase535,4
TestCase1224,2
TestCase2241,6
TestCase2017,33
TestCase764,44
TestCase606,12
TestCase2116,52
TestCase189,7
TestCase1655,41
TestCase838,4
TestCase684,50
TestCase1391,1
TestCase2043,1
TestCase2123,16
TestCase1916,5
TestCase2032,6
TestCase2262,9
TestCase1351,12
TestCase2154,10
TestCase121,2
TestCase1122,8
TestCase721,13
TestCase1624,46
TestCase1730,7
TestCase2453,7
TestCase902,53
TestCase1354,8
TestCase1175,15
TestCase1590,3
TestCase1370,24
TestCase2489,31
TestCase851,39
TestCase866,18
TestCase1563,45
TestCase1181,57
TestCase5,9
TestCase1552,28
TestCase1589,9
TestCase249,7
TestCase1139,9
TestCase1616,5
TestCase704,25
TestCase488,17
TestCase2142,6
TestCase345,10
TestCase1952,1
TestCase600,22
TestCase513,34
TestCase281,8
TestCase781,7
TestCase1773,24
TestCase1082,6
TestCase1083,42
TestCase1703,31
TestCase64,7
TestCase577,50
TestCase874,50
TestCase990,2
TestCase2431,6
TestCase643,8
TestCase506,50
TestCase1974,37
TestCase2188,1
TestCase1480,38
TestCase344,23
TestCase478,58
TestCase2307,29
TestCase1264,35
TestCase887,11
TestCase543,18
TestCase340,4
TestCase1142,3
TestCase89,13
TestCase564,2
TestCase1825,35
TestCase45,33
TestCase1550,40
TestCase750,43
TestCase1090,19
TestCase2358,59
TestCase570,47
TestCase292,1
TestCase17,48
TestCase443,59
TestCase810,24
TestCase457,29
TestCase232,13
TestCase59,52
TestCase552,7
TestCase1444,60
TestCase2039,45
TestCase151,26
TestCase2278,35
TestCase265,55
TestCase1178,9
TestCase2423,50
TestCase2160,9
TestCase680,10
TestCase1527,5
TestCase105,12
TestCase1477,49
TestCase483,44
TestCase775,6
TestCase565,28
TestCase1745,2
TestCase1876,2
TestCase863,10
TestCase1405,1
TestCase1750,8
TestCase447,10
TestCase386,2
TestCase391,1
TestCase2350,42
TestCase417,47
TestCase2352,59
TestCase1106,45
TestCase1558,9
TestCase444,52
TestCase779,9
TestCase1806,30
TestCase183,3
TestCase454,41
TestCase2217,6
TestCase7,7
TestCase505,13
TestCase1653,8
TestCase747,22
TestCase395,3
TestCase621,3
TestCase1678,46
TestCase1662,6
TestCase1774,6
TestCase13,10
TestCase1274,5
TestCase1480,9
TestCase593,12
TestCase282,8
TestCase157,57
TestCase2139,54
TestCase1664,9
TestCase1869,57
TestCase1727,50
TestCase626,33
TestCase896,3
TestCase1779,42
TestCase773,1
TestCase2313,7
TestCase538,41
TestCase36,5
TestCase1917,14
TestCase1150,21
TestCase183,49
TestCase2203,8
TestCase1167,7
TestCase597,9
TestCase1044,7
TestCase566,3
TestCase1055,25
TestCase403,45
TestCase1335,4
TestCase754,51
TestCase1435,8
TestCase390,40
TestCase1829,30
TestCase488,5
TestCase2126,8
TestCase1140,46
TestCase1856,5
TestCase1433,40
TestCase1767,2
TestCase1275,2
TestCase1032,22
TestCase1361,36
TestCase369,42
TestCase1014,4
TestCase1120,45
TestCase790,39
TestCase1113,31
TestCase757,59
TestCase1308,16
TestCase1755,38
TestCase1477,4
TestCase932,40
TestCase233,6
TestCase650,1
