Name,ExecutionTimeInSeconds
TestCase4156,9
TestCase733,2
TestCase307,7
TestCase1236,9
TestCase3322,7
TestCase535,7
TestCase1518,6
TestCase1561,10
TestCase3500,10
TestCase2909,6
TestCase458,9
TestCase1811,1
TestCase3983,3
TestCase4692,8
TestCase1486,1
TestCase3275,2
TestCase2548,1
TestCase4525,3
TestCase861,2
TestCase3592,7
TestCase2412,9
TestCase4462,10
TestCase1163,4
TestCase4041,6
TestCase487,7
TestCase2780,3
TestCase4309,9
TestCase337,1
TestCase1885,6
TestCase434,5
TestCase111,2
TestCase2754,2
TestCase956,4
TestCase3773,8
TestCase4522,10
TestCase1194,4
TestCase1831,5
TestCase2072,2
TestCase1272,6
TestCase4535,8
TestCase3929,10
TestCase4179,8
TestCase4467,2
TestCase4237,10
TestCase4720,2
TestCase395,6
TestCase2014,4
TestCase902,6
TestCase3755,6
TestCase3030,8
TestCase236,8
TestCase3409,10
TestCase688,8
TestCase2503,3
TestCase922,4
TestCase3917,3
TestCase4806,10
TestCase4693,7
TestCase4408,8
TestCase4047,8
TestCase3893,1
TestCase4334,5
TestCase468,1
TestCase4880,9
TestCase58,8
TestCase4482,2
TestCase2431,8
TestCase3977,1
TestCase2974,1
TestCase2088,10
TestCase4485,4
TestCase3324,5
TestCase3750,5
TestCase4993,2
TestCase4211,1
TestCase1169,5
TestCase4689,10
TestCase4658,9
TestCase378,8
TestCase1745,9
TestCase4427,6
TestCase525,9
TestCase4578,4
TestCase1027,8
TestCase2913,10
TestCase4954,4
TestCase454,9
TestCase3793,8
TestCase783,10
TestCase1067,4
TestCase3594,6
TestCase2801,4
TestCase126,10
TestCase4728,4
TestCase4429,7
TestCase3688,8
TestCase2798,6
TestCase4318,8
TestCase1853,3
TestCase510,2
TestCase2971,9
TestCase2433,1
TestCase2004,9
TestCase2344,2
TestCase4396,7
TestCase130,9
TestCase2421,10
TestCase3196,10
TestCase4677,6
TestCase843,6
TestCase346,9
TestCase4005,8
TestCase1374,3
TestCase1167,9
TestCase4766,9
TestCase438,1
TestCase757,9
TestCase4926,2
TestCase127,7
TestCase4615,5
TestCase4855,5
TestCase3729,3
TestCase3057,1
TestCase3156,8
TestCase2252,7
TestCase3649,5
TestCase1264,4
TestCase4889,7
TestCase4532,10
TestCase235,10
TestCase3949,10
TestCase4913,4
TestCase2816,10
TestCase2400,1
TestCase3763,9
TestCase4738,5
TestCase656,6
TestCase3079,6
TestCase2975,1
TestCase1545,6
TestCase2370,1
TestCase3954,6
TestCase4336,3
TestCase2203,6
TestCase1899,7
TestCase1972,5
TestCase770,5
TestCase604,10
TestCase3660,8
TestCase1164,9
TestCase2259,9
TestCase2283,8
TestCase3314,4
TestCase385,10
TestCase1994,6
TestCase2482,10
TestCase96,3
TestCase1172,7
TestCase508,5
TestCase1086,3
TestCase3682,7
TestCase1031,2
TestCase2206,10
TestCase2134,4
TestCase1701,9
TestCase4209,1
TestCase4664,1
TestCase1715,6
TestCase693,9
TestCase2938,4
TestCase1383,2
TestCase1916,1
TestCase409,1
TestCase1083,3
TestCase1929,1
TestCase1455,4
TestCase751,2
TestCase2725,8
TestCase3974,1
TestCase4450,1
TestCase4281,5
TestCase1487,6
TestCase2859,7
TestCase1566,6
TestCase2612,7
TestCase1433,10
TestCase4484,2
TestCase4322,3
TestCase3875,8
TestCase4036,6
TestCase4564,6
TestCase4796,6
TestCase2796,10
TestCase2041,3
TestCase3557,10
TestCase2794,4
TestCase289,6
TestCase3187,7
TestCase2080,8
TestCase3986,10
TestCase3420,2
TestCase4381,8
TestCase4906,6
TestCase3250,5
TestCase2829,8
TestCase3227,3
TestCase3914,4
TestCase3235,10
TestCase1293,8
TestCase893,9
TestCase548,9
TestCase4968,2
TestCase169,9
TestCase1554,6
TestCase3333,9
TestCase3726,3
TestCase3468,10
TestCase1326,8
TestCase3872,5
TestCase3604,2
TestCase3363,10
TestCase1834,6
TestCase3472,2
TestCase4258,3
TestCase44,5
TestCase4908,4
TestCase301,5
TestCase721,4
TestCase3319,7
TestCase233,7
TestCase1675,10
TestCase564,3
TestCase1132,3
TestCase362,5
TestCase1482,2
TestCase731,8
TestCase2327,7
TestCase2710,7
TestCase113,3
TestCase2215,9
TestCase2202,9
TestCase873,8
TestCase1623,7
TestCase4760,1
TestCase3528,3
TestCase1499,7
TestCase2200,1
TestCase465,5
TestCase1751,4
TestCase114,6
TestCase1354,5
TestCase3601,10
TestCase2884,3
TestCase4428,2
TestCase3385,6
TestCase1076,7
TestCase3889,9
TestCase1318,3
TestCase1104,6
TestCase966,4
TestCase1629,8
TestCase2579,3
TestCase578,5
TestCase3262,2
TestCase3043,2
TestCase3686,1
TestCase3340,7
TestCase249,2
TestCase4168,6
TestCase4071,7
TestCase1683,10
TestCase309,3
TestCase3695,1
TestCase4751,6
TestCase2398,10
TestCase464,7
TestCase932,6
TestCase3620,6
TestCase4529,8
TestCase4559,2
TestCase3197,5
TestCase1670,4
TestCase41,10
TestCase4187,4
TestCase3213,2
TestCase2087,10
TestCase3991,9
TestCase4685,6
TestCase1049,10
TestCase1034,1
TestCase4452,4
TestCase879,9
TestCase4389,2
TestCase2003,5
TestCase3724,7
TestCase1489,9
TestCase483,7
TestCase4086,6
TestCase1580,10
TestCase1614,4
TestCase27,5
TestCase725,2
TestCase2705,8
TestCase3371,7
TestCase448,3
TestCase3137,1
TestCase2299,5
TestCase2578,7
TestCase689,5
TestCase4962,10
TestCase1350,4
TestCase4543,9
TestCase2878,7
TestCase1011,9
TestCase166,8
TestCase3992,2
TestCase193,10
TestCase2284,5
TestCase1232,5
TestCase2471,6
TestCase885,5
TestCase2394,4
TestCase2317,8
TestCase3512,8
TestCase4667,5
TestCase2781,2
TestCase4562,1
TestCase200,6
TestCase4672,6
TestCase2507,10
TestCase135,4
TestCase817,4
TestCase1949,2
TestCase3856,4
TestCase1298,1
TestCase4948,9
TestCase621,10
TestCase4101,10
TestCase3095,2
TestCase1068,7
TestCase270,8
TestCase4810,8
TestCase4825,3
TestCase148,5
TestCase2303,7
TestCase1039,8
TestCase3487,9
TestCase1809,3
TestCase3833,10
TestCase1271,3
TestCase1340,9
TestCase1515,1
TestCase1857,1
TestCase4476,6
TestCase1432,2
TestCase3956,4
TestCase1647,7
TestCase1407,5
TestCase4353,9
TestCase3258,7
TestCase2657,6
TestCase2996,9
TestCase3653,9
TestCase2980,4
TestCase1463,1
TestCase3337,7
TestCase3129,6
TestCase1544,4
TestCase1501,10
TestCase659,4
TestCase856,8
TestCase2987,10
TestCase173,7
TestCase3778,7
TestCase610,4
TestCase2564,5
TestCase1003,5
TestCase584,10
TestCase4573,8
TestCase1460,3
TestCase4837,3
TestCase410,9
TestCase4607,8
TestCase901,2
TestCase3822,7
TestCase2831,9
TestCase350,4
TestCase1081,3
TestCase2379,9
TestCase3323,4
TestCase380,1
TestCase4600,3
TestCase3628,5
TestCase1582,8
TestCase1161,7
TestCase3515,8
TestCase4718,1
TestCase387,6
TestCase3704,3
TestCase1467,10
TestCase1821,8
TestCase2309,4
TestCase1384,4
TestCase2403,2
TestCase2376,9
TestCase1094,10
TestCase2742,5
TestCase4518,6
TestCase3010,9
TestCase2079,4
TestCase3865,9
TestCase3958,1
TestCase4666,7
TestCase4234,9
TestCase3630,5
TestCase2226,1
TestCase516,8
TestCase2466,2
TestCase2919,9
TestCase4635,3
TestCase1445,2
TestCase4189,3
TestCase377,5
TestCase3347,8
TestCase2716,5
TestCase4163,4
TestCase3150,7
TestCase4202,4
TestCase2864,7
TestCase1877,8
TestCase2001,9
TestCase2883,6
TestCase4854,2
TestCase4014,6
TestCase691,6
TestCase1481,1
TestCase898,10
TestCase3,4
TestCase3114,6
TestCase3029,8
TestCase871,10
TestCase1157,2
TestCase3733,10
TestCase4831,5
TestCase904,10
TestCase3077,9
TestCase675,8
TestCase2803,7
TestCase4687,7
TestCase1176,4
TestCase687,10
TestCase3740,9
TestCase3469,1
TestCase834,10
TestCase4787,1
TestCase3716,3
TestCase3820,6
TestCase1472,4
TestCase363,4
TestCase935,9
TestCase2244,2
TestCase3058,5
TestCase1872,7
TestCase316,9
TestCase4591,4
TestCase911,7
TestCase653,2
TestCase680,7
TestCase3698,7
TestCase1380,10
TestCase1950,10
TestCase1012,5
TestCase3602,3
TestCase125,3
TestCase2896,4
TestCase1219,3
TestCase3076,10
TestCase1983,4
TestCase1702,3
TestCase4185,1
TestCase684,9
TestCase265,6
TestCase286,9
TestCase2638,3
TestCase945,3
TestCase4527,8
TestCase3431,10
TestCase2462,10
TestCase2115,2
TestCase306,4
TestCase4930,2
TestCase281,5
TestCase4220,1
TestCase3466,10
TestCase813,5
TestCase874,9
TestCase1242,5
TestCase1189,2
TestCase105,4
TestCase4758,8
TestCase2850,5
TestCase4809,7
TestCase494,5
TestCase2627,2
TestCase3725,2
TestCase2129,10
TestCase3622,8
TestCase2078,1
TestCase3006,7
TestCase849,8
TestCase2806,8
TestCase137,2
TestCase842,1
TestCase4805,4
TestCase2002,5
TestCase3968,7
TestCase1572,8
TestCase4824,3
TestCase1524,8
TestCase252,8
TestCase12,6
TestCase2142,2
TestCase2511,3
TestCase3416,9
TestCase2734,4
TestCase4516,5
TestCase1136,7
TestCase4032,5
TestCase279,8
TestCase3168,4
TestCase2242,2
TestCase1725,8
TestCase1531,9
TestCase1334,3
TestCase4377,5
TestCase522,3
TestCase1684,9
TestCase1020,10
TestCase1249,4
TestCase4285,3
TestCase3464,7
TestCase2568,3
TestCase1073,3
TestCase2504,10
TestCase1452,10
TestCase3586,5
TestCase1593,9
TestCase891,1
TestCase3614,2
TestCase4475,2
TestCase1696,2
TestCase563,9
TestCase859,2
TestCase1240,4
TestCase4006,9
TestCase14,2
TestCase447,8
TestCase2862,6
TestCase3590,6
TestCase4914,8
TestCase2837,9
TestCase227,2
TestCase1710,7
TestCase3272,2
TestCase1928,2
TestCase138,4
TestCase4727,10
TestCase3507,10
TestCase4421,5
TestCase788,8
TestCase1324,3
TestCase1797,4
TestCase4790,5
TestCase3873,4
TestCase3008,7
TestCase665,10
TestCase1786,9
TestCase3775,9
TestCase2920,9
TestCase4820,7
TestCase646,6
TestCase4799,5
TestCase2988,3
TestCase1466,8
TestCase1309,1
TestCase3120,1
TestCase851,3
TestCase1322,2
TestCase4079,3
TestCase2631,4
TestCase2713,7
TestCase3761,6
TestCase1485,10
TestCase2256,1
TestCase4818,2
TestCase1457,10
TestCase4303,8
TestCase1993,3
TestCase1074,10
TestCase3490,2
TestCase2104,2
TestCase3119,8
TestCase4020,8
TestCase1682,2
TestCase2961,2
TestCase1901,8
TestCase303,5
TestCase3001,6
TestCase698,9
TestCase2849,5
TestCase3247,6
TestCase2121,3
TestCase121,5
TestCase21,9
TestCase2520,10
TestCase3248,3
TestCase1209,9
TestCase2490,2
TestCase4455,8
TestCase3804,3
TestCase951,9
TestCase2542,7
TestCase3943,3
TestCase4955,7
TestCase2438,4
TestCase1627,1
TestCase4670,4
TestCase1096,10
TestCase2204,7
TestCase3870,1
TestCase2077,1
TestCase1210,8
TestCase2318,2
TestCase1906,7
TestCase840,4
TestCase4945,6
TestCase2145,4
TestCase78,10
TestCase3052,1
TestCase2543,8
TestCase54,7
TestCase1770,6
TestCase1223,10
TestCase2726,3
TestCase1002,2
TestCase3861,4
TestCase555,1
TestCase3907,8
TestCase4249,6
TestCase1783,1
TestCase2681,8
TestCase1339,6
TestCase3633,9
TestCase3935,1
TestCase2656,3
TestCase421,7
TestCase4594,8
TestCase3757,9
TestCase685,5
TestCase4089,6
TestCase2733,7
TestCase3108,4
TestCase1332,10
TestCase1599,8
TestCase1793,3
TestCase603,9
TestCase944,10
TestCase2245,1
TestCase4167,3
TestCase174,6
TestCase2064,9
TestCase4898,2
TestCase3670,2
TestCase4866,1
TestCase4477,2
TestCase847,2
TestCase4457,7
TestCase283,10
TestCase1479,6
TestCase4847,3
TestCase3684,8
TestCase2036,6
TestCase4314,1
TestCase1914,2
TestCase491,2
TestCase216,9
TestCase4154,10
TestCase339,6
TestCase1337,1
TestCase4655,3
TestCase3174,6
TestCase2875,10
TestCase2552,3
TestCase1919,10
TestCase4912,4
TestCase1065,4
TestCase2979,9
TestCase4628,3
TestCase4920,5
TestCase2477,1
TestCase2523,7
TestCase2423,8
TestCase3261,7
TestCase925,6
TestCase647,5
TestCase3994,6
TestCase4268,7
TestCase4108,5
TestCase2720,8
TestCase3072,1
TestCase473,8
TestCase1422,3
TestCase4152,3
TestCase3663,2
TestCase2282,6
TestCase4227,1
TestCase3955,6
TestCase1774,5
TestCase816,2
TestCase3417,2
TestCase1127,6
TestCase4226,3
TestCase3218,6
TestCase3484,9
TestCase3238,2
TestCase481,6
TestCase4671,6
TestCase4743,2
TestCase4378,8
TestCase2955,6
TestCase1865,6
TestCase2908,2
TestCase742,8
TestCase2441,1
TestCase2986,6
TestCase1587,4
TestCase771,2
TestCase1575,1
TestCase4445,5
TestCase1693,3
TestCase2048,6
TestCase3123,9
TestCase2338,7
TestCase1239,2
TestCase1562,7
TestCase1841,4
TestCase913,3
TestCase959,3
TestCase2602,4
TestCase2372,10
TestCase2678,9
TestCase1158,1
TestCase2762,7
TestCase1244,7
TestCase2343,4
TestCase1541,10
TestCase1528,5
TestCase4018,2
TestCase3344,8
TestCase3310,1
TestCase2539,4
TestCase787,10
TestCase3419,3
TestCase1990,2
TestCase2455,2
TestCase1894,2
TestCase1609,6
TestCase4785,10
TestCase4136,4
TestCase2463,2
TestCase3332,2
TestCase2904,7
TestCase212,2
TestCase437,10
TestCase404,1
TestCase2820,1
TestCase2493,8
TestCase3911,7
TestCase854,7
TestCase2857,9
TestCase2363,1
TestCase280,8
TestCase1037,3
TestCase899,8
TestCase897,9
TestCase4623,9
TestCase2056,10
TestCase1251,7
TestCase3747,8
TestCase965,10
TestCase3498,4
TestCase4433,3
TestCase2247,10
TestCase4928,2
TestCase1042,1
TestCase3441,3
TestCase3228,5
TestCase2766,2
TestCase1492,10
TestCase3179,6
TestCase1540,8
TestCase2895,9
TestCase3012,1
TestCase1532,4
TestCase4853,1
TestCase3130,7
TestCase2188,7
TestCase3252,7
TestCase2076,3
TestCase3434,4
TestCase4610,9
TestCase789,5
TestCase3677,8
TestCase2016,10
TestCase4257,2
TestCase261,6
TestCase4637,2
TestCase4798,10
TestCase4229,3
TestCase3542,4
TestCase31,7
TestCase1147,1
TestCase3349,2
TestCase1987,3
TestCase713,10
TestCase3658,4
TestCase3598,5
TestCase4812,5
TestCase2679,6
TestCase2711,9
TestCase917,9
TestCase2251,7
TestCase3038,5
TestCase3329,8
TestCase853,9
TestCase155,7
TestCase1475,9
TestCase4128,1
TestCase1035,7
TestCase4735,6
TestCase2146,5
TestCase3362,3
TestCase572,10
TestCase2776,6
TestCase633,9
TestCase1789,6
TestCase2169,10
TestCase2051,5
TestCase1090,5
TestCase427,10
TestCase4274,1
TestCase3358,10
TestCase1622,2
TestCase4940,1
TestCase4133,7
TestCase4337,8
TestCase4118,10
TestCase3591,7
TestCase241,10
TestCase3563,5
TestCase3176,8
TestCase4781,5
TestCase2178,2
