Name,ExecutionTimeInSeconds
TestCase439,4
TestCase1329,26
TestCase880,2
TestCase347,3
TestCase2051,25
TestCase1061,3
TestCase431,3
TestCase1653,5
TestCase1084,60
TestCase1394,38
TestCase892,24
TestCase1400,51
TestCase1660,6
TestCase2025,8
TestCase1555,43
TestCase2076,3
TestCase1924,8
TestCase63,40
TestCase82,11
TestCase228,16
TestCase1777,10
TestCase1814,10
TestCase1401,44
TestCase1859,9
TestCase1991,2
TestCase413,25
TestCase1901,4
TestCase2403,1
TestCase1367,7
TestCase1871,7
TestCase1682,9
TestCase667,8
TestCase676,54
TestCase1551,26
TestCase630,12
TestCase1169,57
TestCase641,43
TestCase374,7
TestCase1102,6
TestCase2493,52
TestCase167,10
TestCase229,4
TestCase1608,1
TestCase2201,23
TestCase2255,8
TestCase2217,37
TestCase949,59
TestCase962,8
TestCase281,5
TestCase97,7
TestCase1155,40
TestCase302,10
TestCase832,12
TestCase187,26
TestCase1876,9
TestCase2072,26
TestCase1958,7
TestCase1437,4
TestCase1187,32
TestCase1260,9
TestCase1628,4
TestCase1571,5
TestCase2109,1
TestCase1079,10
TestCase319,6
TestCase2286,28
TestCase2281,58
TestCase437,8
TestCase1504,41
TestCase1012,53
TestCase2411,5
TestCase1725,60
TestCase693,4
TestCase1275,2
TestCase2179,10
TestCase805,7
TestCase971,50
TestCase1302,21
TestCase430,14
TestCase1093,43
TestCase2425,38
TestCase2217,7
TestCase1821,3
TestCase927,1
TestCase942,3
TestCase385,6
TestCase2021,43
TestCase2110,60
TestCase351,7
TestCase1818,43
TestCase1269,28
TestCase649,14
TestCase595,46
TestCase559,50
TestCase2411,59
TestCase1252,47
TestCase2077,7
TestCase2477,41
TestCase2400,58
TestCase2189,15
TestCase15,10
TestCase177,47
TestCase57,7
TestCase2426,8
TestCase154,3
TestCase2363,10
TestCase226,10
TestCase2202,6
TestCase1487,1
TestCase1791,5
TestCase1318,21
TestCase1851,1
TestCase464,4
TestCase2356,11
TestCase2261,4
TestCase1464,58
TestCase981,10
TestCase455,5
TestCase105,23
TestCase1882,5
TestCase1055,6
TestCase318,23
TestCase607,5
TestCase328,9
TestCase1233,9
TestCase1520,4
TestCase476,9
TestCase654,14
TestCase755,5
TestCase28,7
TestCase2392,2
TestCase921,10
TestCase1399,8
TestCase903,21
TestCase1149,32
TestCase556,36
TestCase2381,13
TestCase1933,28
TestCase2334,3
TestCase2382,2
TestCase2014,14
TestCase2011,13
TestCase808,39
TestCase1397,36
TestCase2081,1
TestCase552,8
TestCase1410,36
TestCase1727,41
TestCase549,37
TestCase337,45
TestCase2022,7
TestCase1453,2
TestCase1332,6
TestCase544,32
TestCase1341,6
TestCase1960,5
TestCase160,6
TestCase2047,10
TestCase1686,46
TestCase1620,50
TestCase2279,41
TestCase2388,7
TestCase1458,57
TestCase910,8
TestCase504,1
TestCase963,10
TestCase1125,10
TestCase2339,23
TestCase150,9
TestCase4,20
TestCase885,1
TestCase1414,11
TestCase1451,49
TestCase747,24
TestCase1974,5
TestCase1841,10
TestCase1298,1
TestCase2362,39
TestCase597,37
TestCase1867,1
TestCase555,2
TestCase634,34
TestCase45,5
TestCase2450,52
TestCase1617,32
TestCase2198,21
TestCase728,10
TestCase1331,12
TestCase841,50
TestCase1391,5
TestCase2196,8
TestCase2291,4
TestCase377,8
TestCase2344,15
TestCase338,3
TestCase420,13
TestCase1666,20
TestCase2158,7
TestCase110,30
TestCase720,6
TestCase1322,2
TestCase776,9
TestCase670,37
TestCase2042,9
TestCase1091,53
TestCase567,5
TestCase2484,8
TestCase2166,12
TestCase2018,10
TestCase271,20
TestCase201,1
TestCase2055,33
TestCase1135,16
TestCase2374,51
TestCase118,23
TestCase1741,18
TestCase968,11
TestCase103,2
TestCase1092,48
TestCase467,5
TestCase1955,21
TestCase143,8
TestCase2407,1
TestCase647,26
TestCase782,1
TestCase1277,21
TestCase416,3
TestCase864,49
TestCase2246,22
TestCase1124,35
